Package,Built
abind,3.4.1
acepack,3.4.3
acs,3.4.4
AER,3.4.1
Amelia,3.4.1
assertthat,3.4.0
aws.ec2metadata,3.4.4
aws.s3,3.4.3
aws.signature,3.4.4
backports,3.4.0
base64enc,3.4.0
BBmisc,3.4.4
BH,3.4.4
bindr,3.4.0
bindrcpp,3.4.0
bitops,3.4.0
Boom,3.4.4
BoomSpikeSlab,3.4.4
broom,3.4.3
bsts,3.4.4
callr,3.4.3
car,3.4.1
caret,3.4.4
caTools,3.4.1
CausalImpact,3.4.4
cellranger,3.4.0
cem,3.4.1
censusapi,3.4.0
checkmate,3.4.3
choroplethr,3.4.3
choroplethrZip,3.4.3
classInt,3.4.3
cli,3.4.3
clipr,3.4.3
clisymbols,3.4.4
coda,3.4.1
coin,3.4.1
colorspace,3.4.0
combinat,3.4.1
countrycode,3.4.3
cowplot,3.4.1
crayon,3.4.3
crosstalk,3.4.2
curl,3.4.4
CVST,3.4.4
data.table,3.4.3
DBI,3.4.4
dbplyr,3.4.3
ddalpha,3.4.4
Deducer,3.4.1
DEoptimR,3.4.1
desc,3.4.4
devtools,3.4.0
dichromat,3.4.0
digest,3.4.3
dimRed,3.4.4
doBy,3.4.1
dplyr,3.4.3
DRR,3.4.4
DT,3.4.3
dygraphs,3.4.4
e1071,3.4.1
Ecdat,3.4.1
Ecfun,3.4.1
effects,3.4.1
ElmeR,3.4.3
entropy,3.4.1
evaluate,3.4.1
fansi,3.4.4
fastmatch,3.4.1
fda,3.4.1
filehash,3.4.1
fivethirtyeight,3.4.4
forcats,3.4.0
foreach,3.4.4
forecast,3.4.1
formatR,3.4.1
Formula,3.4.1
fracdiff,3.4.1
fs,3.4.4
FSelector,3.4.4
future,3.4.1
gbm,3.4.1
gdata,3.4.0
gee,3.4.1
geepack,3.4.1
geometry,3.4.4
geosphere,3.4.0
GGally,3.4.4
ggmap,3.4.3
ggplot2,3.4.4
ggpmisc,3.4.3
ggrepel,3.4.2
ggthemes,3.4.3
gh,3.4.4
git2r,3.4.4
glmnet,3.4.3
globals,3.4.1
glue,3.4.3
gmapsdistance,3.4.0
googleway,3.4.0
gower,3.4.4
gplots,3.4.4
gridExtra,3.4.3
gtable,3.4.0
gtools,3.4.0
haven,3.4.1
here,3.4.4
hexbin,3.4.2
highr,3.4.1
Hmisc,3.4.3
hms,3.4.0
htmlTable,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.2
httpuv,3.4.0
httr,3.4.1
igraph,3.4.4
iml,3.4.4
ini,3.4.4
inum,3.4.4
iplots,3.4.1
ipred,3.4.4
ISLR,3.4.3
iterators,3.4.1
janitor,3.4.4
JavaGD,3.4.0
JGR,3.4.1
jpeg,3.4.0
jsonlite,3.4.0
kernlab,3.4.4
knitr,3.4.3
labeling,3.4.0
latticeExtra,3.4.3
lava,3.4.4
lazyeval,3.4.3
leaflet,3.4.3
libcoin,3.4.4
listenv,3.4.1
lme4,3.4.1
lmtest,3.4.1
lpSolve,3.4.1
lubridate,3.4.3
magic,3.4.4
magrittr,3.4.0
mapproj,3.4.0
maps,3.4.0
maptools,3.4.0
markdown,3.4.1
Matching,3.4.1
MatchIt,3.4.1
MatrixModels,3.4.1
maxLik,3.4.1
mcmc,3.4.1
MCMCpack,3.4.1
memoise,3.4.0
Metrics,3.4.4
mime,3.4.0
minqa,3.4.1
miscTools,3.4.1
mlbench,3.4.4
mlr,3.4.4
mnormt,3.4.0
ModelMetrics,3.4.4
modelr,3.4.3
modeltools,3.4.1
multcomp,3.4.1
munsell,3.4.4
mvtnorm,3.4.0
nloptr,3.4.1
nordyr,3.4.3
numDeriv,3.4.1
nycflights13,3.4.3
officer,3.4.2
openssl,3.4.4
openxlsx,3.4.4
optmatch,3.4.1
packrat,3.4.3
pander,3.4.3
parallelMap,3.4.4
ParamHelpers,3.4.4
party,3.4.1
partykit,3.4.4
pbkrtest,3.4.1
pbmcapply,3.4.1
pillar,3.4.4
pkgconfig,3.4.0
PKI,3.4.1
plogr,3.4.0
plotly,3.4.3
pls,3.4.4
plyr,3.4.0
png,3.4.0
polynom,3.4.1
prettyunits,3.4.1
pROC,3.4.1
prodlim,3.4.4
progress,3.4.1
proto,3.4.0
psych,3.4.0
purrr,3.4.3
quadprog,3.4.0
quantmod,3.4.1
quantreg,3.4.1
R.methodsS3,3.4.1
R.oo,3.4.1
R.utils,3.4.2
R6,3.4.0
randomForest,3.4.1
randomForestSRC,3.4.4
rappdirs,3.4.3
raster,3.4.3
rattle,3.4.1
RColorBrewer,3.4.1
Rcpp,3.4.3
RcppArmadillo,3.4.1
RcppEigen,3.4.4
RcppRoll,3.4.4
RCurl,3.4.0
readr,3.4.0
readxl,3.4.3
recipes,3.4.4
rematch,3.4.0
reprex,3.4.3
reshape,3.4.1
reshape2,3.4.3
rgdal,3.4.0
rgenoud,3.4.1
rgeos,3.4.0
RgoogleMaps,3.4.0
RGtk2,3.4.0
RItools,3.4.1
rJava,3.4.4
RJDBC,3.4.4
rjson,3.4.0
RJSONIO,3.4.1
rlang,3.4.4
rmarkdown,3.4.4
robustbase,3.4.4
ROCR,3.4.4
RODBC,3.4.1
rpart.plot,3.4.3
RPostgreSQL,3.4.0
rprojroot,3.4.1
rsconnect,3.4.4
rstudioapi,3.4.3
rvest,3.4.0
RWeka,3.4.4
RWekajars,3.4.4
rwunderground,3.4.3
sandwich,3.4.1
scales,3.4.4
selectr,3.4.0
sf,3.4.3
sfsmisc,3.4.4
shiny,3.4.0
skimr,3.4.3
snakecase,3.4.4
sourcetools,3.4.0
sp,3.4.0
SparseM,3.4.0
splus2R,3.4.1
SQUAREM,3.4.2
stargazer,3.4.3
stringi,3.4.0
stringr,3.4.3
strucchange,3.4.1
survey,3.4.1
svd,3.4.1
TeachingDemos,3.4.1
TH.data,3.4.1
tibble,3.4.4
tidyr,3.4.3
tidyselect,3.4.3
tidyverse,3.4.3
tigris,3.4.3
tikzDevice,3.4.3
timeDate,3.4.0
tinytex,3.4.4
tis,3.4.1
tseries,3.4.1
TTR,3.4.1
udunits2,3.4.1
units,3.4.3
usethis,3.4.4
utf8,3.4.3
uuid,3.4.1
VGAM,3.4.1
viridis,3.4.3
viridisLite,3.4.4
WDI,3.4.1
weatherData,3.4.0
WhatIf,3.4.1
whisker,3.4.0
withr,3.4.3
xfun,3.4.4
xgboost,3.4.4
xlsx,3.4.4
xlsxjars,3.4.4
XML,3.4.0
xml2,3.4.3
xtable,3.4.0
xts,3.4.1
yaImpute,3.4.4
yaml,3.4.4
Zelig,3.4.1
zip,3.4.2
zipcode,3.4.1
zoo,3.4.1
translations,3.4.3
